nama_kelurahan,SUSPEK,PROBABLE,PELAKU PERJALANAN,KONTAK ERAT,DISCARDED,POSITIF
ANCOL,523,4,10,706,10,341
ANGKE,442,1,1,510,26,200
BALE KAMBANG,315,7,5,607,23,195
BALI MESTER,114,1,1,206,6,174
BAMBU APUS,464,0,4,697,17,192
BANGKA,333,5,18,728,8,198
BARU,459,0,5,428,18,214
BATU AMPAR,571,3,3,1175,27,291
BENDUNGAN HILIR,482,2,4,866,10,285
BIDARA CINA,425,1,8,634,37,304
BINTARO,807,5,9,1587,26,392
BUKIT DURI,435,2,14,662,14,252
BUNGUR,267,1,13,636,16,211
CAKUNG BARAT,390,3,0,799,47,367
CAKUNG TIMUR,466,3,6,904,45,320
CAWANG,389,1,6,1051,22,351
CEGER,269,0,1,461,9,142
CEMPAKA BARU,711,1,7,1127,36,464
CEMPAKA PUTIH BARAT,1006,8,21,2133,51,709
CEMPAKA PUTIH TIMUR,695,1,12,1499,59,378
CENGKARENG BARAT,822,0,6,1487,13,546
CENGKARENG TIMUR,1004,2,4,2001,18,748
CIBUBUR,962,1,30,2043,92,371
CIDENG,323,0,10,663,13,208
CIGANJUR,778,2,12,845,14,237
CIJANTUNG,903,0,4,601,10,343
CIKINI,175,1,2,232,11,81
CIKOKO,207,1,10,293,1,84
CILANDAK BARAT,1406,1,97,1750,42,456
CILANDAK TIMUR,548,5,17,518,86,275
CILANGKAP,395,1,3,687,21,194
CILILITAN,373,1,7,960,48,352
CILINCING,660,1,6,1197,103,424
CIPAYUNG,587,3,7,755,34,236
CIPEDAK,642,5,1,905,8,295
CIPETE SELATAN,357,2,46,609,6,165
CIPETE UTARA,749,0,9,659,6,199
CIPINANG,370,1,3,1044,41,391
CIPINANG BESAR SELATAN,324,2,2,670,18,254
CIPINANG BESAR UTARA,490,2,3,1068,22,408
CIPINANG CEMPEDAK,288,0,7,587,22,228
CIPINANG MELAYU,424,3,5,815,21,315
CIPINANG MUARA,500,5,9,1065,32,471
CIPULIR,395,6,6,594,8,274
CIRACAS,1078,3,30,1784,45,537
DUKUH,348,0,1,887,14,206
DUREN SAWIT,954,18,4,1305,36,639
DUREN TIGA,493,2,6,703,3,228
DURI KEPA,634,3,12,1422,74,462
DURI KOSAMBI,723,1,4,1286,11,526
DURI PULO,222,0,1,549,7,203
DURI SELATAN,198,0,2,195,4,89
DURI UTARA,242,1,2,255,5,153
GALUR,246,4,3,579,46,207
GAMBIR,117,1,17,438,6,192
GANDARIA SELATAN,257,2,20,758,4,178
GANDARIA UTARA,755,0,3,745,6,256
GEDONG,842,0,4,516,25,312
GELORA,83,0,5,235,0,115
GLODOK,126,0,1,191,1,46
GONDANGDIA,79,0,13,160,7,63
GROGOL,566,1,45,1092,37,274
GROGOL SELATAN,483,0,12,688,14,334
GROGOL UTARA,497,0,24,701,18,388
